url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.newindianexpress.com/explainers/2026/Aug/24/fcra-bill-2026-what-does-it-change-and-what-are-the-concerns,https://www.newindianexpress.com/amp/story/explainers/2026/Aug/24/fcra-bill-2026-what-does-it-change-and-what-are-the-concerns,FCRA Bill 2026 What does it change and what are the concerns ? ,20260824T153000Z,https://cf-images.assettype.com/newindianexpress%2F2026-08-07%2Ftfdsome3%2FANI_20260807111438.jpg?&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,newindianexpress.com,English,India
https://morungexpress.com/power-and-proportion,,Power and Proportion,20260824T130000Z,https://morungexpress.com/public/front/images/no-image.png,morungexpress.com,English,India
