url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://timesofindia.indiatimes.com/city/guwahati/200-flood-affected-sivasagar-families-receive-vegetable-seeds/articleshow/133466816.cms,https://timesofindia.indiatimes.com/city/guwahati/200-flood-affected-sivasagar-families-receive-vegetable-seeds/amp_articleshow/133466816.cms,200 flood - affected Sivasagar families receive vegetable seeds,20260824T154500Z,"https://static.toiimg.com/thumb/msid-133466731,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",timesofindia.indiatimes.com,English,India
https://www.thehindu.com/news/national/manipur/manipur-awaits-delhi-decision-on-census-as-meitei-naga-groups-demand-nrc-first/article71385744.ece,https://www.thehindu.com/news/national/manipur/manipur-awaits-delhi-decision-on-census-as-meitei-naga-groups-demand-nrc-first/article71385744.ece/amp/,"Manipur awaits Delhi decision on Census as Meitei , Naga groups demand NRC first",20260824T180000Z,https://th-i.thgim.com/public/incoming/2etydj/article71385985.ece/alternates/LANDSCAPE_1200/20260824565L.jpg,thehindu.com,English,India
https://www.thehindu.com/education/careers/trust-your-instincts/article71363886.ece,https://www.thehindu.com/education/careers/trust-your-instincts/article71363886.ece/amp/,Trust your instincts - The Hindu,20260824T073000Z,https://th-i.thgim.com/public/education/o20bxm/article70925157.ece/alternates/LANDSCAPE_1200/Featured%20Image_Off%20the%20edge.jpg,thehindu.com,English,India
https://northeasttoday.in/northeast/manipur-14-csos-seek-rijijus-intervention-on-census-nrc-and-delimitation/,,"Manipur : 14 CSOs Seek Rijiju Intervention On Census , NRC And Delimitation",20260824T161500Z,https://northeasttoday.in/wp-content/uploads/2026/08/IMG-20260824-WA0082.jpg,northeasttoday.in,English,India
